Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP,Month,DayOfWeek,MCP_Rolling,YearMonth,Quarter,IsWeekend,WeekOfYear,Day,MCP_lag1,MCP_lag7,MCP_roll7,MCP_vol30,MCP_Capped
2022-06-10,0.1284568486630489,0.1751798027846644,0.3556109382690942,0.3556109382690942,8451.32,6,4,0.7147180572477649,2022-06,2,0,23,10,0.5069936062967266,0.5992707446488309,0.7147180572477649,0.3942659921379232,0.9999999999999999
2022-06-11,0.11548454881957378,0.2006573904241048,0.4071545659209805,0.40715451151396603,7316.99,6,5,0.6852417694794624,2022-06,2,1,23,11,0.7799630134978182,0.6848942283528595,0.6852417694794624,0.3906477158452523,0.9222862530150476
2022-06-12,0.09010640515882971,0.2214063966209573,0.3526286177740208,0.3526286177740208,5859.75,6,6,0.6416752595197677,2022-06,2,1,23,12,0.6520517359975644,0.6089253516564475,0.6416752595197677,0.39059366871632656,0.6249158235416555
2022-06-13,0.1781160876216827,0.13689068053399983,0.3685110046075668,0.3685110590145813,9602.84,6,0,0.6877989855397495,2022-06,2,0,24,13,0.48772792368151024,0.5638217872680348,0.6877989855397495,0.43540588775735617,0.9999999999999999
2022-06-14,0.2052282837803476,0.16629587675273283,0.45817985794654986,0.4581798035395354,10402.63,6,1,0.7686806782303843,2022-06,2,0,24,14,0.9098126994508409,0.4841588576528335,0.7686806782303843,0.4940995156055727,0.9999999999999999
2022-06-15,0.144003317098944,0.17158544019600597,0.45222223546126245,0.45222223546126245,7523.95,6,2,0.7820091402706844,2022-06,2,0,24,15,1.0,0.512449990301439,0.7820091402706844,0.49596782701478254,0.9645193677276641
2022-06-16,0.09575677453848094,0.1563823997742527,0.3186228735902531,0.31862292799726744,5904.69,6,3,0.7793300000297896,2022-06,2,0,24,16,0.6753893167645832,0.42960994585049694,0.7793300000297896,0.4917679252858553,0.6340864660580113
2022-06-17,0.09707490138996622,0.23437140355238434,0.387199215581429,0.38719926998844345,4908.46,6,4,0.7039442578817705,2022-06,2,0,24,17,0.49279552553534584,0.6609153721715317,0.7039442578817705,0.48072743659258704,0.430791646430306
2022-06-18,0.09059915183910218,0.21066999912657303,0.4053795370757416,0.4053795370757416,4132.13,6,5,0.6361761172446752,2022-06,2,1,24,18,0.38045691861841896,0.5525275023481984,0.6361761172446752,0.48322123376605436,0.27237053150546275
2022-06-19,0.0696687399129657,0.2143607522221998,0.35727758834162143,0.3572776427486358,2964.82,6,6,0.5745771699206026,2022-06,2,1,24,19,0.2929150550850803,0.4132848309727132,0.5745771699206026,0.5071160077452481,0.03416441856004182
