Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP
09-01-2023,180722.73,87086.83,62894.90,62894.90,7805.91
10-01-2023,220405.75,89084.20,72057.92,72057.92,9284.32
11-01-2023,204838.23,96164.65,73703.72,73703.71,8210.93
12-01-2023,156247.23,100690.65,77871.45,77871.44,7838.12
13-01-2023,161722.30,84395.85,64294.79,64294.79,8393.60
14-01-2023,114989.78,110795.85,70570.74,70570.74,5071.81
15-01-2023,86035.23,123092.03,63709.69,63709.70,3677.05
16-01-2023,109907.53,116223.73,76100.11,76100.11,4615.46
17-01-2023,112386.40,118683.65,73246.31,73246.30,5222.36
18-01-2023,111163.30,109497.80,64161.28,64161.29,5851.75
19-01-2023,125632.58,99234.65,65402.10,65402.10,7005.44
20-01-2023,158272.50,88728.28,65680.95,65680.95,7851.64
21-01-2023,112563.90,94392.18,59422.03,59422.03,6388.68
22-01-2023,90045.50,113005.05,58485.81,58485.81,4546.26
23-01-2023,89887.88,121151.33,68797.27,68797.27,4046.67
24-01-2023,85555.20,105712.13,53812.58,53812.58,4500.86
25-01-2023,100343.65,122826.13,68855.15,68855.16,4499.04
26-01-2023,73139.78,121678.00,58002.53,58002.53,3114.67
27-01-2023,70440.25,113098.35,53659.27,53659.27,3304.51
28-01-2023,99134.53,111187.00,64264.66,64264.66,4571.13
29-01-2023,89288.75,121914.10,65192.23,65192.24,3827.40
30-01-2023,101549.63,108318.98,63535.02,63535.02,4524.22
31-01-2023,98178.45,114947.70,67141.29,67141.30,4730.90
01-02-2023,80940.60,101209.95,48079.06,48079.06,4567.00
02-02-2023,82729.68,96053.90,47189.52,47189.52,4611.47
03-02-2023,85754.10,101091.18,48934.89,48934.87,4615.50
04-02-2023,101727.95,86514.33,48075.18,48075.16,6150.78
05-02-2023,80554.80,99525.18,51546.59,51546.60,4101.05
06-02-2023,85220.93,97328.20,52881.27,52881.27,4786.16
07-02-2023,105552.38,94515.43,55541.78,55541.76,5647.89
08-02-2023,121471.83,83688.90,52398.89,52398.89,6763.29
09-02-2023,109957.40,84238.23,53701.03,53701.02,6457.42
10-02-2023,106754.78,92760.45,60966.78,60966.78,6055.24
11-02-2023,140684.83,94932.55,69996.69,69996.67,7450.80
12-02-2023,97003.63,115143.75,65844.70,65844.71,4477.18
13-02-2023,120415.53,102352.93,68533.63,68533.63,5865.30
14-02-2023,201248.38,71103.33,60105.09,60105.09,9497.91
15-02-2023,203841.28,72750.50,61638.96,61638.96,9710.70
16-02-2023,181084.15,79635.78,61699.85,61699.85,8455.24
17-02-2023,170710.50,79976.60,62679.18,62679.19,8230.73
18-02-2023,162430.00,85431.00,73203.86,73203.88,8336.39
19-02-2023,114935.80,105657.23,67674.38,67674.38,5416.97
20-02-2023,129288.43,99163.15,70207.94,70207.94,6181.02
21-02-2023,186733.75,90958.53,75686.88,75686.88,8831.62
22-02-2023,142851.50,101026.53,72388.44,72388.45,6990.27
23-02-2023,139565.55,92962.33,65223.31,65223.31,6734.05
24-02-2023,183826.38,81420.38,70838.84,70838.84,9394.95
25-02-2023,167264.15,74215.43,62776.32,62776.33,9660.47
26-02-2023,138909.43,102359.48,76127.72,76127.72,6295.16
27-02-2023,154284.65,71354.75,54253.16,54253.16,9100.52
28-02-2023,155375.25,71043.03,55904.59,55904.59,9093.01
01-03-2023,109616.88,92356.78,63194.40,63194.40,5417.39
02-03-2023,117542.03,84488.55,56417.59,56417.59,7543.80
03-03-2023,130979.33,89220.85,67065.89,67065.89,7970.94
04-03-2023,116237.93,80904.95,57680.96,57680.96,6687.27
05-03-2023,96737.83,98982.60,58343.16,58343.17,4830.24
06-03-2023,106955.48,93555.35,61731.49,61731.50,5665.46
07-03-2023,109732.25,133928.48,78281.43,78281.44,4150.91
08-03-2023,118983.03,155583.65,89738.37,89709.71,3855.17
09-03-2023,113120.50,129037.78,82232.56,82232.56,3857.11
10-03-2023,108227.98,105714.18,63684.54,63684.54,5007.45
11-03-2023,122335.38,108562.10,71801.00,71801.00,5825.78
12-03-2023,104618.83,108719.13,66756.24,66756.25,4767.79
13-03-2023,102966.85,90260.63,51660.32,51660.33,5461.41
14-03-2023,112136.50,87695.85,52112.21,52112.21,6020.39
15-03-2023,127688.25,94813.30,67447.05,67447.06,6017.89
16-03-2023,112045.33,99844.53,68736.52,68736.51,5043.94
17-03-2023,97444.48,108735.45,68150.62,68150.62,3750.91
18-03-2023,90762.00,110393.48,67781.44,67781.44,3634.17
19-03-2023,100323.55,160475.88,87327.36,87327.37,2647.98
20-03-2023,118113.50,150430.83,98522.47,98486.51,3151.41
21-03-2023,120326.25,152061.30,96024.34,96015.09,3262.27
22-03-2023,107061.68,116923.60,72622.47,72618.45,3692.18
23-03-2023,93962.13,101240.73,55126.06,55126.06,4157.03
24-03-2023,108535.05,108222.93,63769.05,63769.05,4644.93
25-03-2023,116239.03,103619.70,64973.26,64999.27,5562.47
26-03-2023,78847.70,100306.60,48741.69,48125.67,3817.65
27-03-2023,102365.35,101090.48,60807.96,60807.96,5078.65
28-03-2023,133932.00,84278.48,58289.84,58291.79,7504.82
29-03-2023,126695.28,93690.13,69106.38,69215.68,6716.01
